Train_no,Train_name,Starts,Ends,No_seats
12723,Andhra Pradesh Express,Hyderabad Decan,New Delhi,20
22416,Andhra Pradesh Express,New Delhi,Vishakapatnam,20
12724,Andhra Pradesh Express,New Delhi,Hyderabad Decan,20
12707,Andhra Pradesh Sampark Kranti,Tirupati,H Nizamuddin,20
15909,Abadh Assam Express,New Tinsukia Junction,Darbhanga Junction,20
18242,Abkp Durg Passenger E,Ambikapur,Durg,20
11266,Abkp Jbp Express,Ambikapur,Jabalpur,20
58702,Abkp Sdl Passenger,Ambikapur,Shahdol,20
54703,Abs Ju Passengr,Abohar,Jodhpur Junction,20
7509,Adb Qln Special,Adilabad,Kollam Junction,20
9416,Adi Madgaon Special,Ahmedabad Junction,Madgaon,20
19417,Adi Ald Express,Ahmedabad Junction,Allahabad Junction,20
9427,Adi Ald Special,Ahmedabad Junction,Allahabad Junction,20
9018,Adi Bct Ac Special,Ahmedabad Junction,Mumbai Central,20
14804,Adi Bgkt Express,Ahmedabad Junction,Bhagat Ki Kothi,20
4804,Adi Bgkt Special,Ahmedabad Junction,Bhagat Ki Kothi,20
9421,Adi Bme Ac Special,Ahmedabad Junction,Barmer,20
19130,Adi Brc Intercity,Ahmedabad Junction,Vadodara Junction,20
2713,Adi Bza Superfast Special,Ahmedabad Junction,Vijayawada Junction,20
19420,Adi Chennai Express,Ahmedabad Junction,Chennai Central,20
9417,Adi Dee Premium,Ahmedabad Junction,Delhi S Rohilla,20
12931,Adi Double Deck,Mumbai Central,Ahmedabad Junction,20
12267,Adi Duronto Express,Mumbai Central,Ahmedabad Junction,20
12298,Adi Duronto Express,Pune Junction,Ahmedabad Junction,20
9425,Adi Jaipur Special,Ahmedabad Junction,Jaipur,20
19223,Adi Jat Express,Ahmedabad Junction,Jammu Tawi,20
19606,Adi Koaa Express,Ahmedabad Junction,Kolkata,20
19401,Adi Lucknow Express,Ahmedabad Junction,Lucknow Nr,20
9413,Adi Lucknow Special,Ahmedabad Junction,Lucknow Nr,20
9420,Adi Majn Superfast Special,Ahmedabad Junction,Mangalore Junction,20
9411,Adi Patna Special,Ahmedabad Junction,Patna Junction,20
19421,Adi Pnbe Express,Ahmedabad Junction,Patna Junction,20
18406,Adi Puri Express,Ahmedabad Junction,Puri,20
12844,Adi Puri Express,Ahmedabad Junction,Puri,20
7017,Adi Sc Premium,Ahmedabad Junction,Secunderabad Junction,20
12958,Adi Sj Rajdhani,New Delhi,Ahmedabad Junction,20
19415,Adi Svdk Express,Ahmedabad Junction,Shmata V D Ktra,20
19944,Adi Udz Express,Ahmedabad Mg,Udaipur City,20
19407,Adi Varanasi Express,Ahmedabad Junction,Varanasi Junction,20
16501,Adi Ypr Express,Ahmedabad Junction,Yesvantpur Junction,20
12547,Af Adi Superfast Express,Agra Fort,Ahmedabad Junction,20
12195,Af Aii Intercity,Agra Fort,Ajmer Junction,20
9612,Af Aii Special,Agra Fort,Ajmer Junction,20
12036,Af Jp Shatabdi,Agra Fort,Jaipur,20
15055,Af Rmr Express,Agra Fort,Ramnagar,20
12954,Ag Kranti Rajdhani,H Nizamuddin,Mumbai Central,20
12320,Agc Koaa Express,Agra Cantt,Kolkata,20
13168,Agc Koaa Express,Agra Cantt,Kolkata,20
1436,Agc Pune Special,Agra Cantt,Pune Junction,20
12342,Agnibina Express,Asansol Junction,Howrah Junction,20
12341,Agnibina Express,Howrah Junction,Asansol Junction,20
12548,Agra Super Fast,Ahmedabad Junction,Agra Fort,20
52575,Agtl Dmr Passenger,Agartala,Dharmanagar,20
22645,Ahilyanagari Express,Indore Junction Bg,Trivandrum Cntl,20
22646,Ahilyanagari Express,Trivandrum Cntl,Indore Junction Bg,20
11095,Ahimsa Express,Ahmedabad Junction,Pune Junction,20
11096,Ahimsa Express,Pune Junction,Ahmedabad Junction,20
16502,Ahmadabad Express,Yesvantpur Junction,Ahmedabad Junction,20
59439,Ahmadabad Passenger,Mumbai Central,Ahmedabad Junction,20
59440,Ahmadabad Passenger,Ahmedabad Junction,Borivali,20
19405,Ahmedabad Ac Express,Yesvantpur Junction,Ahmedabad Junction,20
11050,Ahmedabad Express,C Shahumharaj T,Ahmedabad Junction,20
59441,Ahmedabad Passenger,Mumbai Central,Nandurbar,20
59442,Ahmedabad Passenger,Ahmedabad Junction,Mumbai Central,20
9649,Aii Adi Special,Ajmer Junction,Ahmedabad Junction,20
12196,Aii Af Intercity,Ajmer Junction,Agra Fort,20
5712,Aii Apdj Special,Ajmer Junction,Alipur Duar Junction,20
22996,Aii Bdts Superfast Express,Ajmer Junction,Bandra Terminus,20
9611,Aii Bdts Special,Ajmer Junction,Bandra Terminus,20
9619,Aii Bdts Urs Special,Ajmer Junction,Bandra Terminus,20
9602,Aii Beas Special,Ajmer Junction,Udaipur City,20
9601,Aii Beas Special,Ajmer Junction,Beas,20
13424,Aii Bgp Express,Ajmer Junction,Bhagalpur,20
5286,Aii Bju Special,Ajmer Junction,Barauni Junction,20
12983,Aii Cdg G Rath,Ajmer Junction,Chandigarh,20
5104,Aii Cpr Special,Ajmer Junction,Chhapra,20
5238,Aii Dbg Special,Ajmer Junction,Darbhanga Junction,20
12990,Aii Ddr Express,Ajmer Junction,Dadar,20
9627,Aii Dee Superfast Special,Ajmer Junction,Delhi S Rohilla,20
4042,Aii Dli Superfast Special,Ajmer Junction,Delhi,20
18208,Aii Durg Express,Ajmer Junction,Durg,20
19609,Aii Hw Express,Ajmer Junction,Haridwar Junction,20
9640,Aii Hw Special,Ajmer Junction,Haridwar Junction,20
3002,Aii Hwh Special,Ajmer Junction,Howrah Junction,20
17019,Aii Hyb Express,Ajmer Junction,Hyderabad Decan,20
12719,Aii Hyb Superfast Express,Ajmer Junction,Hyderabad Decan,20
7126,Aii Hyb Special,Ajmer Junction,Hyderabad Decan,20
7019,Aii Hyb Special,Ajmer Junction,Hyderabad Decan,20
9312,Aii Indb Special,Ajmer Junction,Indore Junction Bg,20
12066,Aii Jan Shatabd,H Nizamuddin,Ajmer Junction,20
12413,Aii Jat Express,Ajmer Junction,Jammu Tawi,20
9621,Aii Jp Intercity,Ajmer Junction,Jaipur,20
9625,Aii Jp Superfast Special,Ajmer Junction,Jaipur,20
54802,Aii Ju Fast Passenger,Ajmer Junction,Jodhpur Junction,20
7130,Aii Kcg Special,Ajmer Junction,Kacheguda,20
3138,Aii Koaa Special,Ajmer Junction,Howrah Junction,20
19608,Aii Koaa Express,Ajmer Junction,Kolkata,20
16209,Aii Mys Express,Ajmer Junction,Mysore Junction,20
22211,Aii Nzm Duronto,Ajmer Junction,H Nizamuddin,20
18422,Aii Puri Express,Ajmer Junction,Puri,20
8422,Aii Puri Express,Ajmer Junction,Puri,20
19654,Aii Rtm Express,Ajmer Junction,Ratlam Junction,20
12988,Aii Sdah Express,Ajmer Junction,Sealdah,20
3180,Aii Sdah Superfast Special,Ajmer Junction,Sealdah,20
19603,Aii Sln Express,Ajmer Junction,Sultanpur,20
19607,Aii Wkly Express,Kolkata,Ajmer Junction,20
17064,Ajanta Express,Secunderabad Junction,Manmad Junction,20
17063,Ajanta Express,Manmad Junction,Secunderabad Junction,20
19613,Ajmer Asr Express,Ajmer Junction,Amritsar Junction,20
19611,Ajmer Asr Express,Ajmer Junction,Amritsar Junction,20
12989,Ajmer Express,Dadar,Ajmer Junction,20
16210,Ajmer Express,Mysore Junction,Ajmer Junction,20
19411,Ajmer Intercity,Ahmedabad Junction,Ajmer Junction,20
12015,Ajmer Shatabdi,New Delhi,Ajmer Junction,20
12016,Ajmer Shatabdi,Ajmer Junction,New Delhi,20
9650,Ajmer Special,Ahmedabad Junction,Ajmer Junction,20
12120,Ajni Ami Express,Nagpur,Amravati,20
11202,Ajni Ltt Express,Ajni,Lokmanyatilak T,20
17640,Ak Kcg Express,Akola Junction,Kacheguda,20
52994,Ak Mhow F Passenger,Akola Junction,Mhow,20
7507,Ak Qln Special,Akola Junction,Kollam Junction,20
12318,Akal Takhat Express,Amritsar Junction,Sealdah,20
12317,Akal Takht Express,Sealdah,Amritsar Junction,20
14311,Ala Hazrat Express,Bareilly,Bhuj,20
14312,Ala Hazrat Express,Bhuj,Bareilly,20
7092,Ald Hyb Special,Allahabad Junction,Hyderabad Decan,20
19418,Ald Adi Express,Allahabad Junction,Ahmedabad Junction,20
9430,Ald Adi Special,Allahabad Junction,Ahmedabad Junction,20
4421,Ald Anvt Superfast Special,Allahabad Junction,Anand Vihar Trm,20
7240,Ald Cct Special,Allahabad Junction,Kakinada Town,20
4001,Ald Dli Superfast Special,Allahabad Junction,Delhi,20
12276,Ald Duronto Express,New Delhi,Allahabad Junction,20
12293,Ald Duronto Express,Lokmanyatilak T,Allahabad Junction,20
14115,Ald Hw Express,Allahabad Junction,Haridwar Junction,20
4120,Ald Hwh Special,Allahabad Junction,Howrah Junction,20
22442,Ald Intercity,Kanpur Central,Allahabad Junction,20
4121,Ald Jat Ac Special,Allahabad Junction,Jammu Tawi,20
4131,Ald Jat Premium,Allahabad Junction,Jammu Tawi,20
12403,Ald Jp Express,Allahabad Junction,Jaipur,20
12294,Ald Ltt Duronto,Allahabad Junction,Lokmanyatilak T,20
4127,Ald Ltt Premium,Allahabad Junction,Lokmanyatilak T,20
12564,Ald Ltt Superfast Express,Allahabad Junction,Lokmanyatilak T,20
1006,Ald Ltt Special,Allahabad Junction,Lokmanyatilak T,20
4115,Ald Ltt Special,Allahabad Junction,Lokmanyatilak T,20
4111,Ald Ndls Superfast Special,Allahabad Junction,New Delhi,20
4423,Ald Ndls Special,Allahabad Junction,New Delhi,20
7514,Ald Ned Special,Allahabad Junction,Nanded,20
7512,Ald Ned Special,Allahabad Junction,Nanded,20
4113,Ald Uhp Special,Allahabad Junction,Udhampur,20
8576,Ald Vskp Special,Allahabad Junction,Vishakapatnam,20
9429,Allahabad Special,Ahmedabad Junction,Allahabad Junction,20
22639,Alleppey Express,Chennai Central,Alleppey,20
16308,Alleppey Express,Kannur,Alleppey,20
12587,Amar Nath Express,Gorakhpur Junction,Jammu Tawi,20
18047,Amaravathi Express,Howrah Junction,Vasco Da Gama,20
17225,Amaravathi Express,Vijayawada Junction,Hubli Junction,20
17226,Amaravati Express,Hubli Junction,Kacheguda,20
12853,Amarkantak Express,Durg,Bhopal Junction,20
12854,Amarkantak Express,Bhopal Junction,Durg,20
15098,Amarnath Express,Jammu Tawi,Bhagalpur,20
15097,Amarnath Express,Bhagalpur,Jammu Tawi,20
15653,Amarnath Express,Guwahati,Jammu Tawi,20
11265,Ambikapur Express,Jabalpur,Ambikapur,20
13138,Amh Koaa Express,Azamgarh,Kolkata,20
11054,Amh Ltt Express,Azamgarh,Lokmanyatilak T,20
12119,Ami Ajni Express,Amravati,Ajni,20
12159,Ami Jbp Superfast Express,Amravati,Jabalpur,20
11406,Ami Pune Express,Amravati,Pune Junction,20
12766,Ami Tpty Superfast Express,Amravati,Tirupati,20
9050,Ami Udn Passenger Special,Amravati,Udhna Junction,20
12112,Amravati Cstm E,Amravati,Mumbai Cst,20
16343,Amritha Express,Trivandrum Cntl,Palghat Town,20
16344,Amritha Express,Palghat Town,Trivandrum Cntl,20
12483,Amritsar Express,Kochuveli,Amritsar Junction,20
13049,Amritsar Express,Howrah Junction,Amritsar Junction,20
11057,Amritsar Express,Lokmanyatilak T,Dhule,20
13005,Amritsar Mail,Howrah Junction,Amritsar Junction,20
12014,Amritsar Shatabdi,Amritsar Junction,New Delhi,20
12032,Amritsar Shatabdi,Amritsar Junction,New Delhi,20
12013,Amritsar Shatabdi,New Delhi,Amritsar Junction,20
12031,Amritsar Shatabdi,New Delhi,Amritsar Junction,20
22128,Anandwan Express,Kazipet Junction,Lokmanyatilak T,20
22127,Anandwan Express,Lokmanyatilak T,Kazipet Junction,20
16723,Anantapuri Express,Chennai Egmore,Trivandrum Cntl,20
16724,Anantapuri Express,Trivandrum Cntl,Chennai Egmore,20
12316,Ananya Express,Udaipur City,Sealdah,20
16031,Andaman Express,Chennai Central,Jammu Tawi,20
16032,Andaman Express,Jammu Tawi,Chennai Central,20
12254,Anga Express,Bhagalpur,Yesvantpur Junction,20
12253,Anga Express,Yesvantpur Junction,Bhagalpur,20
12315,Annanya Express,Sealdah,Udaipur City,20
4422,Anvt Ald Superfast Special,Anand Vihar Trm,Allahabad Junction,20
4118,Anvt Ald Special,Anand Vihar Trm,Allahabad Junction,20
4028,Anvt Apdj Special,Anand Vihar Trm,Alipur Duar Junction,20
3518,Anvt Asn Special,Anand Vihar Trm,Asansol Junction,20
22406,Anvt Bgp G Rath,Anand Vihar Trm,Bhagalpur,20
14152,Anvt Cnb Express,Anand Vihar Trm,Kanpur Central,20
12211,Anvt Garib Rath,Muzaffarpur Junction,Anand Vihar Trm,20
22409,Anvt Garib Rath,Gaya Junction,Anand Vihar Trm,20
2398,Anvt Gaya Special,Anand Vihar Trm,Gaya Junction,20
5028,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction,20
15058,Anvt Gkp Express,Anand Vihar Trm,Gorakhpur Junction,20
5052,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction,20
5036,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction,20
5040,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction,20
5050,Anvt Gkp Special,Delhi,Gorakhpur Junction,20
5058,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction,20
12444,Anvt Hlz S F Express,Anand Vihar Trm,Haldia,20
12040,Anvt Kgm Shatabdi,Anand Vihar Trm,Kathgodam,20
13132,Anvt Koaa Express,Anand Vihar Trm,Kolkata,20
3126,Anvt Koaa Superfast Special,Anand Vihar Trm,Kolkata,20
15622,Anvt Kyq Express,Anand Vihar Trm,Kamakhya,20
15026,Anvt Mau Express,Anand Vihar Trm,Mau Junction,20
13430,Anvt Mldt Express,Anand Vihar Trm,Malda Town,20
3210,Anvt Pnbe Special,Anand Vihar Trm,Patna Junction,20
2394,Anvt Pnbe Special,Anand Vihar Trm,Patna Junction,20
2365,Anvt Premium,Patna Junction,Anand Vihar Trm,20
2527,Anvt Premium Special,Gorakhpur Junction,Anand Vihar Trm,20
22488,Anvt Rdp Link,Anand Vihar Trm,Radhikapur,20
12428,Anvt Rewa Express,Anand Vihar Trm,Rewa,20
3190,Anvt Sdah Superfast Special,Anand Vihar Trm,Sealdah,20
22858,Anvt Src Superfast Express,Anand Vihar Trm,Santragachi Junction,20
8034,Anvt Src Special,Anand Vihar Trm,Santragachi Junction,20
4403,Anvt Uhp Special,Anand Vihar Trm,Udhampur,20
12708,Ap Sampark Kranti,H Nizamuddin,Tirupati,20
5711,Apdj Aii Special,Alipur Duar Junction,Ajmer Junction,20
5817,Apdj Dbb Special,Alipur Duar Junction,Dhubri,20
12885,Aranyak Express,Shalimar,Bhojudih Junction,20
12886,Aranyak Express,Bhojudih Junction,Shalimar,20
19707,Aravali Express,Bandra Terminus,Jaipur,20
19708,Aravali Express,Jaipur,Bandra Terminus,20
12356,Archana Express,Jammu Tawi,Rjndr Ngr Bihar,20
12355,Archna Express,Rjndr Ngr Bihar,Jammu Tawi,20
3560,Asansol Special,Patna Junction,Asansol Junction,20
12916,Ashram Express,Delhi,Ahmedabad Junction,20
12915,Ashram Express,Ahmedabad Junction,Delhi,20
3517,Asn Anvt Special,Asansol Junction,Anand Vihar Trm,20
12361,Asn Cstm Express,Asansol Junction,Mumbai Cst,20
13509,Asn Gd Express,Asansol Junction,Gonda Junction,20
13507,Asn Gkp Express,Asansol Junction,Gorakhpur Junction,20
3563,Asn Jp Special,Asansol Junction,Jaipur,20
12376,Asn Mas Express,Asansol Junction,Chennai Central,20
3555,Asn Mfp Special,Asansol Junction,Muzaffarpur Junction,20
3511,Asn Pnbe Special,Asansol Junction,Patna Junction,20
3557,Asn Pnbe Special,Asansol Junction,Patna Junction,20
3516,Asn Puri Special,Asansol Junction,Puri,20
19614,Asr Aii Express,Amritsar Junction,Ajmer Junction,20
19612,Asr Ajmer Express,Amritsar Junction,Ajmer Junction,20
12242,Asr Cdg Superfast,Amritsar Junction,Chandigarh,20
14154,Asr Cnb Express,Amritsar Junction,Kanpur Central,20
15934,Asr Dbrg Express,Amritsar Junction,Dibrugarh,20
14632,Asr Ddn Express,Amritsar Junction,Dehradun,20
54602,Asr Hsr Passenger,Amritsar Junction,Sadulpur Junction,20
12054,Asr Hw Jnshtbdi,Amritsar Junction,Haridwar Junction,20
13050,Asr Hwh Express,Amritsar Junction,Howrah Junction,20
13006,Asr Hwh Mail,Amritsar Junction,Howrah Junction,20
19326,Asr Indb Express,Amritsar Junction,Indore Junction Bg,20
19772,Asr Jaipur Express,Amritsar Junction,Ajmer Junction,20
19782,Asr Jp Express,Amritsar Junction,Ajmer Junction,20
12484,Asr Kcvl Express,Amritsar Junction,Kochuveli,20
15708,Asr Kir Express,Amritsar Junction,Katihar Junction,20
12358,Asr Koaa Superfast Express,Amritsar Junction,Kolkata,20
14616,Asr Lku Express,Amritsar Junction,Lal Kuan,20
11058,Asr Ltt Express,Amritsar Junction,Lokmanyatilak T,20
12460,Asr Ndls Express,Amritsar Junction,New Delhi,20
12716,Asr Ned Express,Amritsar Junction,Nanded,20
12422,Asr Ned Superfast Express,Amritsar Junction,Nanded,20
14002,Attari Dli Express,Atari,Delhi,20
12953,Aug Kr Raj Express,Mumbai Central,H Nizamuddin,20
57549,Aurangabad Psgr,Hyderabad Decan,Aurangabad,20
15910,Avadh Assam Express,Lalgarh Junction,New Tinsukia Junction,20
15610,Avadh Assam Express,Lalgarh Junction,New Tinsukia Junction,20
19040,Avadh Express,Muzaffarpur Junction,Bandra Terminus,20
19037,Avadh Express,Bandra Terminus,Gorakhpur Junction,20
19039,Avadh Express,Bandra Terminus,Muzaffarpur Junction,20
19038,Avadh Express,Gorakhpur Junction,Bandra Terminus,20
12962,Avantika Express,Indore Junction Bg,Mumbai Central,20
12961,Avantika Express,Mumbai Central,Indore Junction Bg,20
17619,Awb Ned Express,Aurangabad,Nanded,20
7505,Awb Qln Special,Aurangabad,Kollam Junction,20
17621,Awb Ru Express,Aurangabad,Renigunta Junction,20
7405,Awb Tpty Special,Aurangabad,Tirupati,20
14808,Awr Jp Express,Alwar,Jaipur,20
4805,Awr Krh Special,Alwar,Khairthal,20
12129,Azad Hind Express,Pune Junction,Howrah Junction,20
12130,Azad Hind Express,Howrah Junction,Pune Junction,20
12948,Azimabad Express,Patna Junction,Ahmedabad Junction,20
12947,Azimabad Express,Ahmedabad Junction,Patna Junction,20
15665,B G Express,Kamakhya,Dimapur,20
15666,B G Express,Dimapur,Kamakhya,20
18450,B Nath Dham Express,Patna Junction,Puri,20
18449,B Nath Dham Express,Puri,Patna Junction,20
13019,Bagh Express,Howrah Junction,Kathgodam,20
13020,Bagh Express,Kathgodam,Howrah Junction,20
12577,Bagmati Express,Darbhanga Junction,Mysore Junction,20
12578,Bagmati Express,Mysore Junction,Darbhanga Junction,20
74639,Bahl Sina,Banihal,Srinagar,20
19452,Bandra T Express,Gandhidham Bg,Bandra Terminus,20
6347,Bangalore Express,Eranakulam Junction,Bangalore Cy Junction,20
6542,Bangalore Express,Villuparam Junction,Bangalore Cy Junction,20
12785,Bangalore Express,Kacheguda,Bangalore Cy Junction,20
12609,Bangalore Express,Chennai Central,Bangalore Cy Junction,20
6516,Bangalore Express,Tirunelveli,Bangalore Cy Junction,20
16525,Bangalore Express,Kanyakumari,Bangalore Cy Junction,20
16518,Bangalore Express,Kannur,Bangalore Cy Junction,20
16524,Bangalore Express,Karwar,Bangalore Cy Junction,20
6590,Bangalore Express,Hubli Junction,Bangalore Cy Junction,20
16228,Bangalore Express,Talguppa,Bangalore Cy Junction,20
17236,Bangalore Express,Nagercoil Junction,Bangalore Cy Junction,20
12678,Bangalore Express,Eranakulam Junction,Bangalore Cy Junction,20
16316,Bangalore Express,Kochuveli,Bangalore Cy Junction,20
6029,Bangalore Express,Chennai Central,Bangalore Cy Junction,20
12657,Bangalore Mail,Chennai Central,Bangalore Cy Junction,20
56263,Bangalore Passenger,Mysore Junction,Bangalore Cy Junction,20
22607,Bangalore Superfast Express,Eranakulam Junction,Bangalore Cy Junction,20
12683,Bangalore Superfast Express,Eranakulam Junction,Bangalore Cy Junction,20
12494,Banglore Rajdhn,H Nizamuddin,Bangalore Cy Junction,20
22694,Banglore Rajdhn,H Nizamuddin,Bangalore Cy Junction,20
22692,Banglore Rajdhani,H Nizamuddin,Bangalore Cy Junction,20
13241,Banka Rjpb Express,Banka,Rjndr Ngr Bihar,20
15694,Barak Valley Express,Silchar,Lumding Junction,20
15693,Barak Valley Express,Lumding Junction,Silchar,20
14555,Bareilly Dli Express,Bareilly,Delhi,20
14556,Bareilly Express,Delhi,Bareilly,20
14313,Bareilly Express,Lokmanyatilak T,Bareilly,20
14322,Bareilly Express,Bhuj,Bareilly,20
28624,Barka Rjpb Express,Barka Kana,Rjndr Ngr Bihar,20
14888,Barmer Klk Express,Barmer,Kalka,20
14805,Barmer Ac Express,Yesvantpur Junction,Barmer,20
17307,Basava Express,Mysore Junction,Bagalkot,20
17308,Basava Express,Bagalkot,Mysore Junction,20
51029,Bb Bjp Fast Passenger,Mumbai Cst,Bijapur,20
18404,Bbn Ckp Intercity Express,Barabil,Chakradharpur,20
12021,Bbn Janshatabdi,Howrah Junction,Barabil,20
12022,Bbn Janshatabdi,Barabil,Howrah Junction,20
18415,Bbn Puri Express,Barabil,Puri,20
12831,Bbs Garib Rath,Dhanbad Junction,Bhubaneswar,20
12892,Bbs Bpo Express,Bhubaneswar,Bangriposi,20
18437,Bbs Bwip Link E,Bhubaneswar,Nilaje,20
12830,Bbs Chennai Express,Bhubaneswar,Chennai Central,20
1020,Bbs Cstm Special,Bhubaneswar,Mumbai Cst,20
12281,Bbs Duronto Express,Bhubaneswar,New Delhi,20
12282,Bbs Duronto Express,New Delhi,Bhubaneswar,20
12894,Bbs Express,Balangir,Bhubaneswar,20
12074,Bbs Jan Shatabd,Bhubaneswar,Howrah Junction,20
12073,Bbs Jan Shatabd,Howrah Junction,Bhubaneswar,20
12880,Bbs Ltt Superfast Express,Bhubaneswar,Lokmanyatilak T,20
2815,Bbs Ndls Superfast Special,Bhubaneswar,New Delhi,20
22805,Bbs Ndls Superfast Express,Bhubaneswar,New Delhi,20
12898,Bbs Pdy Express,Bhubaneswar,Puducherry,20
8449,Bbs Pnbe Special,Bhubaneswar,Patna Junction,20
12582,Bbs Pune Express,Bhubaneswar,Pune Junction,20
22882,Bbs Pune Express,Bhubaneswar,Pune Junction,20
2882,Bbs Pune Premiu,Bhubaneswar,Pune Junction,20
22811,Bbs Rajdhani Express,Bhubaneswar,New Delhi,20
22823,Bbs Rajdhani Express,Bhubaneswar,New Delhi,20
18496,Bbs Rmm Express,Bhubaneswar,Rameswaram,20
18106,Bbs Rou Intercity Express,Bhubaneswar,Rourkela,20
22871,Bbs Tpty Express,Bhubaneswar,Tirupati,20
22879,Bbs Tpty Superfast Express,Bhubaneswar,Tirupati,20
2845,Bbs Ypr Superfast Special,Bhubaneswar,Yesvantpur Junction,20
12845,Bbs Ypr Superfast Express,Bhubaneswar,Yesvantpur Junction,20
9017,Bct Adi Ac Special,Mumbai Central,Ahmedabad Junction,20
9007,Bct Bikaner Special,Mumbai Central,Bikaner Junction,20
12932,Bct Doubledecke,Ahmedabad Junction,Mumbai Central,20
22210,Bct Duronto,New Delhi,Mumbai Central,20
12268,Bct Duronto Express,Ahmedabad Junction,Mumbai Central,20
12955,Bct Jp Express,Mumbai Central,Jaipur,20
4093,Bct Ndls Ac Special,Mumbai Central,New Delhi,20
9003,Bct Ndls Premiu,Mumbai Central,New Delhi,20
14209,Bdl Lko Intercity,Vindhyachal,Lucknow Nr,20
2904,Bdts Ac S F Express,Bhuj,Bandra Terminus,20
22904,Bdts Ac S F Express,Bhuj,Bandra Terminus,20
9027,Bdts Adi Special,Bandra Terminus,Ahmedabad Junction,20
9642,Bdts Aii Special,Bandra Terminus,Ajmer Junction,20
12995,Bdts Aii Udz Express,Bandra Terminus,Ajmer Junction,20
9620,Bdts Aii Urs Special,Bandra Terminus,Ajmer Junction,20
19065,Bdts Bgkt Express,Bandra Terminus,Bhagat Ki Kothi,20
19115,Bdts Bhuj Express,Bandra Terminus,Bhuj,20
9023,Bdts Bikaner Special,Bandra Terminus,Bikaner Junction,20
22474,Bdts Bkn Superfast Express,Bandra Terminus,Bikaner Junction,20
19203,Bdts Bvc Express,Bandra Terminus,Bhavnagar Trmus,20
9231,Bdts Bvc Special,Bandra Terminus,Bhavnagar Trmus,20
19029,Bdts Dee Express,Bandra Terminus,Delhi S Rohilla,20
12910,Bdts Garib Rath,H Nizamuddin,Bandra Terminus,20
5034,Bdts Gkp Special,Bandra Terminus,Gorakhpur Junction,20
2534,Bdts Gkp Superfast Special,Bandra Terminus,Gorakhpur Junction,20
1654,Bdts Hbj Special,Bandra Terminus,Habibganj,20
22915,Bdts Hsr Superfast Express,Bandra Terminus,Hisar,20
2915,Bdts Hsr Superfast Express,Bandra Terminus,Hisar,20
9301,Bdts Indb Superfast Special,Bandra Terminus,Indore Junction Bg,20
9029,Bdts Indore Special,Bandra Terminus,Indore Junction Bg,20
11104,Bdts Jhansi Express,Bandra Terminus,Jhansi Junction,20
22933,Bdts Jp Superfast Express,Bandra Terminus,Jaipur,20
9732,Bdts Jp Special,Bandra Terminus,Jaipur,20
9033,Bdts Jp Special,Bandra Terminus,Jaipur,20
19063,Bdts Jsm Express,Bandra Terminus,Jaisalmer,20
9063,Bdts Jsm Express,Bandra Terminus,Jaisalmer,20
22931,Bdts Jsm Express,Bandra Terminus,Jaisalmer,20
9045,Bdts Jsm Special,Bandra Terminus,Jaisalmer,20
9019,Bdts Ju Special,Bandra Terminus,Jodhpur Junction,20
22444,Bdts Kanpur Express,Bandra Terminus,Kanpur Central,20
19021,Bdts Ljn Express,Bandra Terminus,Lucknow Ne,20
9009,Bdts Madgaon Special,Bandra Terminus,Madgaon,20
12247,Bdts Nzm Yuva E,Bandra Terminus,H Nizamuddin,20
9561,Bdts Okha Special,Bandra Terminus,Okha,20
19049,Bdts Patna Express,Bandra Terminus,Patna Junction,20
22935,Bdts Pit Superfast Express,Bandra Terminus,Mumbai Cst,20
9011,Bdts Pnbe Special,Bandra Terminus,Patna Junction,20
9061,Bdts Rmr Express,Bandra Terminus,Ramnagar,20
12907,Bdts Sampark K Express,Bandra Terminus,H Nizamuddin,20
12935,Bdts Surat Express,Bandra Terminus,Surat,20
14321,Be Bhuj Express,Bareilly,Bhuj,20
14236,Be Bsb Express,Bareilly,Varanasi Junction,20
54077,Be Dli Psngr,Bareilly,Delhi,20
14320,Be Indb Express,Bareilly,Indore Junction Bg,20
4314,Be Kota Special,Bareilly,Kota Junction,20
14308,Be Lko Ald Passenger,Bareilly,Prayag,20
14314,Be Ltt Express,Bareilly,Lokmanyatilak T,20
4918,Beas Sre Special,Beas,Saharanpur,20
12238,Begampura Express,Jammu Tawi,Varanasi Junction,20
12237,Begampura Express,Varanasi Junction,Jammu Tawi,20
18203,Betwa Express,Durg,Kanpur Central,20
18204,Betwa Express,Kanpur Central,Durg,20
14803,Bgkt Adi Express,Bhagat Ki Kothi,Ahmedabad Junction,20
4803,Bgkt Adi Special,Bhagat Ki Kothi,Ahmedabad Junction,20
9054,Bgkt Bct Special,Jodhpur Junction,Valsad,20
19066,Bgkt Bdts Express,Bhagat Ki Kothi,Bandra Terminus,20
18244,Bgkt Bsp Express,Bhagat Ki Kothi,Bilaspur Junction,20
8244,Bgkt Bsp Special,Bhagat Ki Kothi,Bilaspur Junction,20
15623,Bgkt Kyq Express,Bhagat Ki Kothi,Kamakhya,20
5623,Bgkt Kyq Special,Bhagat Ki Kothi,Kamakhya,20
